PeriodEnd,PeriodStart,Period,AirTemp,Ghi
2012-06-30T02:00:00Z,2012-06-30T01:00:00Z,PT60M,14.4,517
2012-06-30T03:00:00Z,2012-06-30T02:00:00Z,PT60M,15.5,515
2012-06-30T04:00:00Z,2012-06-30T03:00:00Z,PT60M,16.0,456
2012-06-30T05:00:00Z,2012-06-30T04:00:00Z,PT60M,15.9,333
2012-06-30T06:00:00Z,2012-06-30T05:00:00Z,PT60M,15.9,171
2012-06-30T07:00:00Z,2012-06-30T06:00:00Z,PT60M,15.3,40
2012-06-30T08:00:00Z,2012-06-30T07:00:00Z,PT60M,14.4,0
2012-06-30T09:00:00Z,2012-06-30T08:00:00Z,PT60M,13.5,0
2012-06-30T10:00:00Z,2012-06-30T09:00:00Z,PT60M,12.7,0
2012-06-30T11:00:00Z,2012-06-30T10:00:00Z,PT60M,11.9,0
2012-06-30T12:00:00Z,2012-06-30T11:00:00Z,PT60M,11.2,0
2012-06-30T13:00:00Z,2012-06-30T12:00:00Z,PT60M,10.9,0
2012-06-30T14:00:00Z,2012-06-30T13:00:00Z,PT60M,11.0,0
2012-06-30T15:00:00Z,2012-06-30T14:00:00Z,PT60M,11.2,0
2012-06-30T16:00:00Z,2012-06-30T15:00:00Z,PT60M,11.1,0
2012-06-30T17:00:00Z,2012-06-30T16:00:00Z,PT60M,10.8,0
2012-06-30T18:00:00Z,2012-06-30T17:00:00Z,PT60M,10.4,0
2012-06-30T19:00:00Z,2012-06-30T18:00:00Z,PT60M,10.1,0
2012-06-30T20:00:00Z,2012-06-30T19:00:00Z,PT60M,9.9,0
2012-06-30T21:00:00Z,2012-06-30T20:00:00Z,PT60M,9.7,1
2012-06-30T22:00:00Z,2012-06-30T21:00:00Z,PT60M,9.8,44
2012-06-30T23:00:00Z,2012-06-30T22:00:00Z,PT60M,10.1,112
2012-07-01T00:00:00Z,2012-06-30T23:00:00Z,PT60M,10.4,232
2012-07-01T01:00:00Z,2012-07-01T00:00:00Z,PT60M,11.0,417
2012-07-01T02:00:00Z,2012-07-01T01:00:00Z,PT60M,11.9,200
2012-07-01T03:00:00Z,2012-07-01T02:00:00Z,PT60M,12.8,139
2012-07-01T04:00:00Z,2012-07-01T03:00:00Z,PT60M,13.1,349
2012-07-01T05:00:00Z,2012-07-01T04:00:00Z,PT60M,12.9,351
2012-07-01T06:00:00Z,2012-07-01T05:00:00Z,PT60M,12.6,201
2012-07-01T07:00:00Z,2012-07-01T06:00:00Z,PT60M,12.1,52
2012-07-01T08:00:00Z,2012-07-01T07:00:00Z,PT60M,11.5,0
2012-07-01T09:00:00Z,2012-07-01T08:00:00Z,PT60M,10.9,0
2012-07-01T10:00:00Z,2012-07-01T09:00:00Z,PT60M,10.3,0
2012-07-01T11:00:00Z,2012-07-01T10:00:00Z,PT60M,9.7,0
2012-07-01T12:00:00Z,2012-07-01T11:00:00Z,PT60M,9.2,0
2012-07-01T13:00:00Z,2012-07-01T12:00:00Z,PT60M,9.2,0
2012-07-01T14:00:00Z,2012-07-01T13:00:00Z,PT60M,9.5,0
2012-07-01T15:00:00Z,2012-07-01T14:00:00Z,PT60M,9.9,0
2012-07-01T16:00:00Z,2012-07-01T15:00:00Z,PT60M,10.1,0
